Overall Rank	State	Code	Airport	Flights Per Year	Delays %	Canceled %	Avg. Delay (Mins)	Security Delay (Mins)
119	LA	BTR	Baton Rouge Metropolitan/Ryan Field	7,053	14.6	2.5	13.4	0.04
120	NC	EWN	Coastal Carolina Regional	2,154	15.6	2.0	13.6	0.00
121	AK	SCC	Deadhorse Airport	904	6.3	2.0	4.2	0.25
122	WY	RKS	Southwest Wyoming Regional	670	10.6	3.1	10.5	0.00
123	KY	LEX	Blue Grass	8,407	15.8	1.9	14.2	0.04
124	MS	GPT	Gulfport-Biloxi International	4,166	14.0	2.5	13.2	0.04
125	NY	SYR	Syracuse Hancock International	13,017	15.6	2.8	14.9	0.00
126	SC	CHS	Charleston AFB/International	23,692	16.4	2.2	13.4	0.05
127	FL	DAB	Daytona Beach International	3,034	13.6	1.8	9.6	0.68
128	WA	PSC	Tri Cities	2,620	13.6	1.3	15.0	0.07
129	TX	IAH	George Bush Intercontinental/Houston	164,466	19.3	1.5	15.7	0.03
130	OH	DAY	James M Cox/Dayton International	12,702	16.4	2.5	13.7	0.02
131	AK	CDV	Merle K Mudhole Smith	662	11.5	1.1	6.5	1.14
132	TX	CRP	Corpus Christi International	5,364	14.6	3.3	12.1	0.04
133	NM	ABQ	Albuquerque International Sunport	21,681	16.2	1.5	12.4	0.57
134	OK	SWO	Stillwater Regional	810	10.9	4.6	10.0	0.00
135	NC	GSO	Piedmont Triad International	13,487	16.4	2.4	14.4	0.02
136	TX	LBB	Lubbock Preston Smith International	6,498	15.4	3.5	13.6	0.00
137	CA	PSP	Palm Springs International	11,115	17.6	1.7	15.1	0.02
138	NY	ISP	Long Island MacArthur	4,955	15.1	1.9	12.2	0.16
139	TX	GRK	Robert Gray AAF	3,120	15.0	2.7	14.2	0.00
140	TN	BNA	Nashville International	75,807	19.4	1.7	13.8	0.06
141	FL	VPS	Eglin AFB Destin Fort Walton Beach	8,212	16.8	1.6	14.0	0.06
142	SC	GSP	Greenville-Spartanburg International	14,646	17.0	2.1	15.1	0.02
143	MI	GRR	Gerald R. Ford International	17,571	16.9	2.7	14.2	0.01
