2022 Rank,Airport,ICAO,2022 Enplaned Passengers,2022 Originating Domestic Passengers,Latitude,Longitude,Elevation,Flights Per Year,Delays,Canceled,Avg. Delay (Mins),Security Delay (Mins)
16,BOS,KBOS,17431800.0,919227,26.072599,-80.152702,9,"137,991",0.207,0.02,16.8,0.06
17,FLL,KFLL,15345900.0,605198,44.882,-93.221802,841,"89,100",0.222,0.013999999999999999,16.5,0.23
18,MSP,KMSP,15202700.0,655028,40.777199,-73.872597,21,"148,165",0.15,0.011000000000000001,11.9,0.13
19,LGA,KLGA,14366900.0,747533,42.212398529052734,-83.35340118408203,645,"157,960",0.225,0.03,18.3,0.06
20,DTW,KDTW,13725600.0,589164,39.87189865112305,-75.24109649658203,36,"148,075",0.161,0.011000000000000001,13.1,0.13
21,PHL,KPHL,12398600.0,612722,40.785749,-111.979746,4227,"109,468",0.17800000000000002,0.022000000000000002,13.8,0.08
22,SLC,KSLC,12370400.0,464454,38.8521,-77.037697,15,"105,043",0.134,0.004,10.2,0.02
23,DCA,KDCA,11533500.0,531181,32.7336006165,-117.190002441,17,"128,150",0.18,0.026000000000000002,14.4,0.05
24,SAN,KSAN,11122100.0,605311,39.1754,-76.668297,146,"85,744",0.16899999999999998,0.017,11.0,0.1
25,BWI,KBWI,11063900.0,510849,27.975500106811523,-82.533203125,26,"95,601",0.203,0.026000000000000002,13.1,0.26
26,TPA,KTPA,10516300.0,547506,30.197535,-97.662015,542,"69,352",0.18,0.015,13.7,0.04
27,AUS,KAUS,10358100.0,520863,38.9445,-77.455803,312,"61,222",0.17600000000000002,0.015,13.5,0.08
28,IAD,KIAD,10239800.0,275957,36.1245002746582,-86.6781997680664,599,"63,427",0.157,0.015,15.5,0.07
29,BNA,KBNA,9805500.0,456900,41.785999,-87.752403,620,"75,807",0.19399999999999998,0.017,13.8,0.06
30,MDW,KMDW,9636200.0,389902,21.32062,-157.924228,13,"76,906",0.263,0.040999999999999995,15.1,0.11
31,HNL,PHNL,8799800.0,345472,32.847099,-96.851799,487,"47,342",0.1,0.002,6.9,1.64
32,DAL,KDAL,7756800.0,327518,45.58869934,-122.5979996,31,"67,624",0.235,0.033,13.2,0.09
33,PDX,KPDX,7233000.0,447280,38.748697,-90.370003,618,"57,064",0.12300000000000001,0.006999999999999999,8.3,0.07
34,STL,KSTL,6692700.0,341165,29.64539909,-95.27890015,46,"62,730",0.21600000000000003,0.023,14.1,0.04
35,HOU,KHOU,6429000.0,252999,38.69540023803711,-121.59100341796875,27,"55,433",0.245,0.033,14.1,0.22
36,SMF,KSMF,6034500.0,390303,29.99340057373047,-90.25800323486328,4,"46,990",0.141,0.015,8.9,0.1
37,MSY,KMSY,5914300.0,290985,35.877601623535156,-78.7874984741211,435,"53,363",0.192,0.02,13.7,0.2
38,RDU,KRDU,5829800.0,359980,37.362598,-121.929001,62,"58,761",0.187,0.018000000000000002,15.3,0.05
39,SJC,KSJC,5577400.0,325744,33.675701,-117.867996,56,"57,707",0.142,0.019,8.9,0.09
40,SNA,KSNA,5493600.0,306901,37.721298,-122.221001,9,"37,356",0.15,0.012,10.0,0.04
41,OAK,KOAK,5424400.0,323701,26.53619956970215,-81.75520324707031,30,"48,636",0.193,0.02,10.8,0.32
42,RSW,KRSW,5125400.0,237339,18.4393997192,-66.0018005371,9,"30,645",0.177,0.013000000000000001,15.0,0.02
43,SJU,TJSJ,5012200.0,255939,39.2976,-94.713898,1026,"24,234",0.209,0.009000000000000001,17.4,0.12
44,MCI,KMCI,4784600.0,305067,29.533701,-98.469803,809,"50,569",0.158,0.021,11.5,0.04
45,SAT,KSAT,4725300.0,270392,41.4117012024,-81.8498001099,791,"37,350",0.154,0.015,11.8,0.04
